徐州九龙妇产医院,江苏省,徐州市,鼓楼区,黄河东路39号
电业局本部,江苏省,徐州市,鼓楼区,解放北路20号
电业局变电运维室,江苏省,徐州市,泉山区,黄河南路39
电业局变电检修室,江苏省,徐州市,泉山区,解放桥
电业局培训中心（教培）,江苏省,徐州市,鼓楼区,淮海东路141号
电业局配电检修室,江苏省,徐州市,泉山区,引洪南路中段
电业局花园变,江苏省,徐州市,鼓楼区,解放北路20号北
电业局物流分中心（中心仓库）,江苏省,徐州市,鼓楼区,煤建东三巷
电业局电力医院,江苏省,徐州市,鼓楼区,复兴北路177
电业局检修分部,江苏省,徐州市,新城区,昆仑大道
