检修分部（七里沟）,生产办公用房楼,西子奥的斯,乘客电梯,31303203032014121745,,日立电梯（中国）有限公司,2014-04-10,F8N95817,GeN2,曳引驱动,6,6,6,1000,1.75,2017-12-13,徐州市泉山区七里沟新路,,,
铜山新区供电公司,办公楼大厅,苏州富佳思科电梯,乘客电梯,31303203232008070333,1,东芝电梯（中国）有限公司,2008-04-01,804106,NKP(N)1000/1.0,曳引驱动,4,4,4,1000,1,2017-09-29,同昌西路173,,,
华联金福,大厅北梯,上海东莞电梯,乘客电梯,31103203022002060528,,东芝电梯（中国）有限公司,1999-01-01,990069（曳引机）,TKJ100/1.5JX,曳引驱动,10,10,10,1000,1.5,2017-01-17,徐州市鼓楼区淮海西路51号,,,
华联大厦B座,大厅单层梯,东芝电梯,乘客电梯,31103203022002060529,2,莱茵电梯有限公司,1999-01-01,990065（曳引机）,TKJ1000/1.75-JX,曳引驱动,25,25,25,1000,1.75,2018-03-20,淮海东路51号,,,
华联大厦B座,大厅双层梯,东芝电梯,乘客电梯,31103203022002060530,3,华升富士达电梯有限公司,1999-01-01,990064（曳引机）,TKJ1000/1.75-JX,曳引驱动,25,25,25,1000,1.75,2018-03-20,淮海东路51号,,,
碧涛莎酒店,南梯,施塔德电梯,乘客电梯,31303203022011010036,2#,华升富士达电梯有限公司,2011-01-01,10NEB6078,STDW-K1000/1.5-VF,曳引驱动,6,6,6,1000,1.5,2018-03-20,解放北路2号,,,
碧涛莎酒店,北梯,施塔德电梯,乘客电梯,31303203022011010037,2,华升富士达电梯有限公司,2011-01-01,10NEB6079,STDW-K1000/1.5-VF,曳引驱动,6,6,6,1000,1.5,2018-03-20,解放北路2号,,,
文化大厦,东梯,爱登堡电梯,乘客电梯,31103203022007080323,1,华升富士达电梯有限公司,2009-07-01,ED070401-01,EDL-508K/VF-1000kg/1.75,曳引驱动,21,21,21,1000,1.75,2018-04-17,徐州市鼓楼区大马路99-2号,,,
文化大厦,中梯,爱登堡电梯,乘客电梯,31103203022007080322,2,东芝电梯（中国）有限公司,2009-07-01,ED070401-02,EDL-508K/VF-1000kg/1.75,曳引驱动,21,21,21,1000,1.75,2018-04-17,徐州市鼓楼区大马路99-2号,,,
文化大厦,西梯,爱登堡电梯,乘客电梯,31103203022007080321,3,东芝电梯（中国）有限公司,2009-07-01,ED070401-03,EDL-508K/VF-1000kg/1.75,曳引驱动,21,21,21,1000,1.75,2018-04-17,徐州市鼓楼区大马路99-2号,,,
荷馨园酒店,酒店大厅,爱默生电梯,乘客电梯,31303203112011121142,1#,恒达富士电梯有限公司,2011-10-01,D1108115,ES2000NP/1000-1.0m/s,曳引驱动,2,2,2,1000,1,2018-02-01,中山南路80号,,,
海螺村酒店,酒店大厅,蒂森电梯,乘客电梯,31103203112002080883,1#,恒达富士电梯有限公司,2001-07-04,2001219,TKJ1000/1.0-JXW,曳引驱动,7,7,7,1000,1,2018-03-20,湖北路36号,,,
海螺村酒店,餐梯,上海东亚电梯,餐梯,,,江南嘉捷电梯股份有限公司,2011-12-01,,,曳引驱动,2,2,2,,,,湖北路36号,,,
海螺村酒店,餐梯,上海东亚电梯,餐梯,,,东芝电梯（中国）有限公司,2011-12-01,,,曳引驱动,2,2,2,,,,湖北路36号,,,
黄河景园,A座北梯,上海三菱电梯,乘客电梯,31103203032004091510,6号,东芝电梯（中国）有限公司,2004-02-01,402001167,TKJ1000/1.75-JX,曳引驱动,19,19,19,1000,1.75,2017-09-06,夹河街2号,,,
黄河景园,A座南梯,上海三菱电梯,乘客电梯,31103203032004091509,5号,上海三菱电梯有限公司,2004-02-01,402001166,TKJ1000/1.75-JX,曳引驱动,21,21,21,1000,1.75,2017-09-06,夹河街2号,,,
黄河景园,B座北梯,上海三菱电梯,乘客电梯,31103203032004091507,4号,上海三菱电梯有限公司,2004-02-01,402001165,TKJ1000/1.75-JX,曳引驱动,18,18,18,1000,1.75,2017-09-06,夹河街2号,,,
黄河景园,B座南梯,上海三菱电梯,乘客电梯,31103203032004091505,3号,奥的斯机电电梯有限公司,2004-02-01,402001164,TKJ1000/1.75-JX,曳引驱动,20,20,20,1000,1.75,2017-09-06,夹河街2号,,,
黄河景园,C座北梯,上海三菱电梯,乘客电梯,31103203032004091506,2号,奥的斯机电电梯有限公司,2004-02-01,402001163,TKJ1000/1.75-JX,曳引驱动,19,19,19,1000,1.75,2017-09-06,夹河街2号,,,
黄河景园,C座南梯,上海三菱电梯,乘客电梯,31103203032004091508,1号,扬州天利电梯有限公司,2004-02-01,402001162,TKJ1000/1.75-JX,曳引驱动,21,21,21,1000,1.75,2017-09-06,夹河街2号,,,
状元楼,商住楼西梯,上海崇友东芝电梯,乘客电梯,31103203032002080904,1月2日,通力电梯有限公司,2001-05-01,ZY-DT-2,CV180-1000,曳引驱动,25,25,25,1000,1.75,2017-06-27,解放北路72号,,,
状元楼,商住楼东梯,上海崇友东芝电梯,乘客电梯,31103203032002080903,1月1日,康力电梯股份有限公司,2001-05-01,ZY-DT-1,CV180-1000,曳引驱动,25,25,25,1000,1.75,2017-06-27,解放北路72号,,,
总工会培训中心,办公楼东梯,杭州西子奥的斯电梯,乘客电梯,31103203022004050641,B,天津奥的斯电梯有限公司,1998-03-01,98-149,TKJ100/1.0-JXW,曳引驱动,6,6,6,1000,1,2018-03-21,文化路28号,,,
金陵金源大酒店,3号楼大厅南梯,日立电梯,乘客电梯,31103203022014122064,,天津奥的斯电梯有限公司,2014-07-01,13G026139,HPM-825-CO105,曳引驱动,15,15,15,825,1.75,2018-03-23,淮海西路33号,,,
金陵金源大酒店,3号楼大厅北梯,日立电梯,乘客电梯,31103203022014122066,,东芝电梯（中国）有限公司,2014-07-01,13G026140,HPM-825-CO106,曳引驱动,15,15,15,825,1.75,2018-03-23,淮海西路33号,,,
金陵金源大酒店,2号楼大厅南梯,施塔德电梯,乘客电梯,31103203022016122601,,东芝电梯（中国）有限公司,2016-09-01,16NE0979,STD-K,曳引驱动,10,10,10,1000,1.5,2018-01-12,淮海西路33号,,,
金陵金源大酒店,2号楼大厅北梯,施塔德电梯,乘客电梯,31103203022016122357,,东芝电梯（中国）有限公司,2016-09-01,16NE0980,STD-K,曳引驱动,10,10,10,1000,1.5,2018-01-12,淮海西路33号,,,
戏马台写字楼,写字楼,东芝电梯,乘客电梯,31103203112002060613,,东芝电梯（中国）有限公司,2002-06-01,,,曳引驱动,8,8,8,800,1,2018-01-03,解放路103号,,,
丰储明珠,丰储明珠,北京五洲电梯,乘客电梯,31303203032009010027,,东芝电梯（中国）有限公司,2003-05-01,,WGVF-50,曳引驱动,7,7,7,800,1,,丰储街明珠楼,,,
贾汪供电公司,南梯,日立电梯,乘客电梯,31103203052017020001,,东芝电梯（中国）有限公司,2016-09-01,16G036776,MCA-1050-CO105,曳引驱动,9,9,9,1050,1.75,2018-06-14,贾韩中路,,,
贾汪供电公司,北梯,日立电梯,乘客电梯,31103203052017020002,,东芝电梯（中国）有限公司,2016-09-01,16G036777,MCA-1050-CO105,曳引驱动,10,10,10,1050,1.75,2018-06-14,贾韩中路,,,
