北京市朝阳区房屋管理局第一管理所,,霍普曼,乘客电梯,30101101052017050043,劲松721楼2门,杭州霍普曼,,17010061,HPVM1000/3.0CP,,10,10,10,1000,1,,朝阳区劲松,,,
北京市朝阳区房屋管理局第一管理所,,霍普曼,乘客电梯,30101101052017050041,劲松723楼2门,杭州霍普曼,,17010059,HPVM1000/3.0CP,,10,10,10,1000,1,,朝阳区劲松,,,
北京市朝阳区房屋管理局第一管理所,,霍普曼,乘客电梯,30101101052017050045,劲松832楼,杭州霍普曼,,17010069,HPVM1000/3.0CP,,12,12,12,1000,1,,朝阳区劲松,,,
北京市朝阳区房屋管理局第一管理所,,霍普曼,乘客电梯,30101101052017050048,东外大街22#楼,杭州霍普曼,,17010066,HPVM1000/3.0CP,,17,17,17,800,1.75,,朝阳区劲松,,,
北京市朝阳区房屋管理局第一管理所,,霍普曼,乘客电梯,30101101052017050047,东外大街32#东楼,杭州霍普曼,,17010064,HPVM1000/3.0CP,,16,16,16,1000,1.75,,朝阳区劲松,,,
北京市朝阳区房屋管理局第一管理所,,霍普曼,乘客电梯,30101101052017050050,东外大街24#楼,杭州霍普曼,,17010068,HPVM1000/3.0CP,,16,16,16,1000,1.75,,朝阳区劲松,,,
北京市朝阳区房屋管理局第一管理所,,霍普曼,乘客电梯,30101101052017050049,东外大街30#东楼,杭州霍普曼,,17010056,HPVM1000/3.0CP,,16,16,16,1000,1.75,,朝阳区劲松,,,
北京市朝阳区房屋管理局第一管理所,,霍普曼,乘客电梯,30101101052017060048,东外大街20#楼,杭州霍普曼,,17010065,HPVM1000/3.0CP,,17,17,17,800,1.75,,朝阳区劲松,,,
北京市朝阳区房屋管理局第一管理所,,霍普曼,乘客电梯,30101101052017060050,东外大街32#楼西梯,杭州霍普曼,,17010058,HPVM1000/3.0CP,,16,16,16,1000,1.75,,朝阳区劲松,,,
北京市朝阳区房屋管理局第一管理所,,霍普曼,乘客电梯,30101101052017060049,东外大街30#楼西梯,杭州霍普曼,,17010057,HPVM1000/3.0CP,,16,16,16,1000,1.75,,朝阳区劲松,,,
北京迪麦克国际物流中心,,霍普曼,乘客电梯,301311010120170002,1#,杭州霍普曼,,17010009,HFVM5000/0.5CG,,2,2,2,3000,0.5,,朝阳区东外大街,,,
国家体育总局训练局,,霍普曼,乘客电梯,30101101012017110024,局编12#,杭州霍普曼,,17080679,HPVM1000/3.0CP,,9,9,9,800,1.75,,北京市东城区总布胡同28号,,,
国家体育总局训练局,,霍普曼,乘客电梯,30101101012017110025,局编11#,杭州霍普曼,,17080680,HPVM1000/3.0CP,,9,9,9,800,1.75,,北京市东城区总布胡同28号,,,
北京市地铁置业有限公司,,霍普曼,乘客电梯,30101101072017090004,1#,杭州霍普曼,,17050426,HPVM1000/3.0CP,,20,20,20,1000,1.75,,海淀区德外西大街甲5号,,,
北京市地铁置业有限公司,,霍普曼,乘客电梯,30101101082017090068,7月1日,杭州霍普曼,,17050428,HPVM1000/3.0CP,,9,9,9,800,1.75,,海淀区德外西大街甲5号,,,
北京市地铁置业有限公司,,霍普曼,乘客电梯,30101101082017090069,8月1日,杭州霍普曼,,17050427,HPVM1000/3.0CP,,12,12,12,800,1.75,,海淀区德外西大街甲5号,,,
北京市地铁置业有限公司,,霍普曼,乘客电梯,30101101072017120037,2#,杭州霍普曼,,17060490,HPVM1000/3.0CP,,20,20,20,800,1.75,,海淀区德外西大街甲5号,,,
北京市地铁置业有限公司,,霍普曼,乘客电梯,30101101082018010036,7月2日,杭州霍普曼,,17060492,HPVM1000/3.0CP,,9,9,9,800,1.75,,海淀区德外西大街甲5号,,,
北京市地铁置业有限公司,,霍普曼,乘客电梯,30101101082018010037,8月2日,杭州霍普曼,,17060491,HPVM1000/3.0CP,,9,9,9,800,1.75,,海淀区德外西大街甲5号,,,
北京东风物业管理有限责任公司,,霍普曼,乘客电梯,30101101052017110160,西,杭州霍普曼,,17080705,HPVM1000/3.0CP,,18,18,18,1000,1.75,,北京市朝阳区农光南路19号楼,,,
中国气象局,,燕园图新,乘客电梯,,,燕园图新,,,,,,,,,,,中关村南大街46号,,,
亿本物业,,燕园图新,乘客电梯,30101101052004070002,10-A1,燕园图新,,,TKJ1000/1.5-JX,,12,12,12,1000,1.75,,双桥温泉东里小区,,,
