蕲河金岸,2#楼,通力,乘客电梯,TK 08701,,通力,2016-4-6,1136603100,TKJ1000/2.0,曳引驱动,33,33,33,1000,2,2016-7-25,蕲河金岸,麻城百瑞物业服务有限公司蕲春分公司,,
中天国际,2月14日,奥的斯 ,乘客电梯,31104211262015080014,,奥的斯 ,2014-12-9,F8N32716,RF11000/2.0,曳引驱动,,,,1000,2,2017-7-14,湖北蕲春,麻城百瑞物业服务有限公司蕲春分公司,,
中天国际,1月14日,奥的斯 ,乘客电梯,31104211262015080013,,奥的斯 ,2014-12-9,F8N32715,RF11000/2.0,曳引驱动,,,,1000,2,2017-7-14,湖北蕲春,麻城百瑞物业服务有限公司蕲春分公司,,
中天国际,2月13日,奥的斯 ,乘客电梯,31104211262015080012,,奥的斯 ,,F8N32714,TKJ1000/2.0,曳引驱动,,,,1000,2,2017-7-14,湖北蕲春,麻城百瑞物业服务有限公司蕲春分公司,,
中天国际,1月13日,奥的斯 ,乘客电梯,31104211262015080011,,奥的斯 ,2014-12-9,F8N32713,TKJ1000/2.0,曳引驱动,,,,1000,2,2017-7-14,湖北蕲春大道,武汉格林物业管理有限公司,,
中天国际,3-2#,奥的斯 ,乘客电梯,31104211262015080010,,奥的斯 ,2014-12-9,F8N32687,TKJ800/1.75,曳引驱动,,,,800,1.75,2017-6-14,湖北蕲春,武汉格林物业管理有限公司,,
中天国际,3-1#,奥的斯 ,乘客电梯,31104211262015080009,,奥的斯 ,2014-12-9,F8N32688,TKJ800/1.75,曳引驱动,,,,800,1.75,2017-6-14,湖北蕲春,麻城百瑞物业服务有限公司蕲春分公司,,
中天国际,11-2#,奥的斯 ,乘客电梯,31104211262015080008,,奥的斯 ,2014-12-9,F8N32708,TKJ1000/2.0,曳引驱动,,,,1000,2,2017-7-14,湖北蕲春,麻城百瑞物业服务有限公司蕲春分公司,,
中天国际,11-1#,奥的斯 ,乘客电梯,31104211262015080007,,奥的斯 ,2014-12-9,F8N32707,TKJ1000/2.0,曳引驱动,,,,1000,1.75,2017-6-14,湖北蕲春,武汉格林物业管理有限公司,,
中天国际,10-1-2#,奥的斯 ,乘客电梯,31104211262015080006,,奥的斯 ,2014-12-9,F8N32710,TKJ1000/2.0,曳引驱动,,,,1000,2,2017-6-14,湖北蕲春,麻城百瑞物业服务有限公司蕲春分公司,,
