宜宾学院,教工楼15栋3#,快菱,乘客电梯,31105115022015070031,,广州快菱电梯有限公司,2013-04-10,YG1301P009,XEVP800/1.0-CO0.8-JW,曳引驱动,8,8,8,800,1,2017-09-08,翠屏区五粮液大道酒圣路,,,
四川省宜宾普拉斯包装材料有限公司,聚酯事业部,重庆富士,载货电梯,31205115022017070150,,重庆富士电梯有限责任公司,2016-09-28,CF/D160721-1,CF-VFH3000,曳引驱动,7,7,7,3000,0.5,,四川省宜宾市岷江西路150号,,,
五粮液集团有限公司,1区,天津奥的斯,载货电梯,30115115002007120069,,天津OTIS电梯有限公司,,,THJ3000/0.5,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,4区,迅达电梯,载货电梯,30115115002007120071,,苏州迅达电梯有限公司,1996-04-01,960332,THJ2000/0.5,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,5区,西继迅达,载货电梯,31205115022015110156,,西继迅达（许昌）电梯有限公司,2014-09-25,14031885C-001,9000-HT-20-05-4-X9,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,7区,迅达电梯,载货电梯,30115115002007120068,,苏州迅达电梯有限公司,1998-01-01,980350,THJ1000/0.5,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,8区,迅达电梯,载货电梯,30115115002007120073,,苏州迅达电梯有限公司,2000-01-01,,THJ1000/0.5,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,9区,迅达电梯,载货电梯,30115115002007120074,,苏州迅达电梯有限公司,1999-01-01,,THJ1000/0.5,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,10区,迅达电梯,载货电梯,30115115002007120075,,苏州迅达电梯有限公司,2002-01-01,,THJ1000/0.5,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,11区,迅达电梯,载货电梯,31105115022007120076,,苏州迅达电梯有限公司,2003-01-01,,THJ1000/0.5,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,12区,迅达电梯,载货电梯,31105115002007120077,,苏州迅达电梯有限公司,2003-01-01,,THJ1000/0.5,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,18库,恒达富士,载货电梯,32105115022014030079,,恒达富士电梯有限公司,2012-01-01,201204184,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,陈酿29库,迅达电梯,载货电梯,30115115002007120072,,苏州迅达电梯有限公司,1997-01-01,9703033,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,36库,星玛,载货电梯,31205115022014030069,,星玛电梯有限公司,2010-12-01,2010F5535E01-1#1,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,37库,星玛,载货电梯,31205115022014030070,,星玛电梯有限公司,2010-12-01,2010F5535E03,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,38库,星玛,载货电梯,31205115022014030071,,星玛电梯有限公司,2010-12-01,2010F5535E02,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,39库,星玛,载货电梯,31205115022014030072,,星玛电梯有限公司,2010-12-01,2010F5535E01,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,40库,星玛,载货电梯,31205115022014030073,,星玛电梯有限公司,2010-12-01,2010F5535E01-4#1,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,41库,星玛,载货电梯,31205115022014030074,,星玛电梯有限公司,2010-12-01,2010F5535E02-2#6,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,42库,星玛,载货电梯,31205115022014030075,,星玛电梯有限公司,2010-12-01,2010F5535E02-3#8,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,43库,星玛,载货电梯,32105115022014030076,,星玛电梯有限公司,2010-12-01,2010F5535E02-2#2,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,44库,星玛,载货电梯,32105115022014030077,,星玛电梯有限公司,2010-12-01,2010F5535E02-1#5,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,45库,星玛,载货电梯,31205115022014030078,,星玛电梯有限公司,2010-12-01,2010F5535E02-2#5,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,46库,杭州西奥,载货电梯,31205115022017010043,,杭州西奥电梯有限公司,2015-09-01,XODTA16105,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,47库,杭州西奥,载货电梯,31205115022017010042,,杭州西奥电梯有限公司,2016-04-01,XODTA13106,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,48库,杭州西奥,载货电梯,31205115022017010044,,杭州西奥电梯有限公司,2015-03-01,XOHA16104,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,49库,苏州东南,载货电梯,31205115022014030057,,东南电梯有限公司,2014-07-01,P27889HJ756,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
五粮液集团有限公司,50库,苏州东南,载货电梯,31205115022151101155,,东南电梯有限公司,,P27889HJ757,,曳引驱动,,,,,,,翠屏区岷江西路150号,,,
