淮滨县江淮名都,13#楼2单元北,,乘客电梯,31104115272018040004,,,,11701443,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,13#楼2单元南,,乘客电梯,31104115272018040005,,,,11701441,TKJ1000/1.75-JXW,曳引驱动,18,18,18,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,13#楼3单元北,,乘客电梯,31104115272018040006,,,,11701445,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,13#楼3单元南,,乘客电梯,31104115272018040007,,,,11701440,TKJ1000/1.75-JXW,曳引驱动,18,18,18,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,13#楼4单元北,,乘客电梯,31104115272018040008,,,,11701442,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,13#楼4单元南,,乘客电梯,31104115272018040009,,,,11701439,TKJ1000/1.75-JXW,曳引驱动,18,18,18,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,8#楼1单元北,,乘客电梯,31104115272018040010,,,,11701435,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,8#楼1单元南,,乘客电梯,31104115272018040011,,,,11701432,TKJ1000/1.75-JXW,曳引驱动,18,18,18,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,8#楼2单元北,,乘客电梯,31104115272018040012,,,,11701436,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,8#楼2单元南,,乘客电梯,31104115272018040013,,,,11701433,TKJ1000/1.75-JXW,曳引驱动,18,18,18,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,8#楼3单元北,,乘客电梯,31104115272018040014,,,,11701437,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,8#楼3单元南,,乘客电梯,31104115272018040015,,,,11701434,TKJ1000/1.75-JXW,曳引驱动,18,18,18,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,2#楼1单元北,,乘客电梯,31104115272018040016,,,,11701426,TKJ1000/1.75-JXW,曳引驱动,27,27,27,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,2#楼1单元南,,乘客电梯,31104115272018040017,,,,11701431,TKJ1000/1.75-JXW,曳引驱动,26,26,26,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,2#楼2单元北,,乘客电梯,31104115272018040018,,,,11701427,TKJ1000/1.75-JXW,曳引驱动,27,27,27,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,2#楼2单元南,,乘客电梯,31104115272018040019,,,,11701430,TKJ1000/1.75-JXW,曳引驱动,26,26,26,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,2#楼3单元北,,乘客电梯,31104115272018040020,,,,11701428,TKJ1000/1.75-JXW,曳引驱动,27,27,27,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,2#楼3单元南,,乘客电梯,31104115272018040021,,,,11701429,TKJ1000/1.75-JXW,曳引驱动,26,26,26,1000,1.75,2019.04.02,文化路与216省道交叉口,,,
淮滨县江淮名都,7#1单元北,,乘客电梯,31104115272018060017,,,,11701267,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,7#1单元南,,乘客电梯,31104115272018060018,,,,11701268,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,7#2单元北,,乘客电梯,31104115272018060019,,,,11701265,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,7#2单元南,,乘客电梯,31104115272018060020,,,,11701266,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,15#1单元南,,乘客电梯,31104115272018060021,,,,11701273,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,15#1单元北,,乘客电梯,31104115272018060022,,,,11701274,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,15#2单元北,,乘客电梯,31104115272018060023,,,,11701272,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,15#2单元南,,乘客电梯,31104115272018060024,,,,11701269,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,15#3单元北,,乘客电梯,31104115272018060025,,,,11701270,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,15#3单元南,,乘客电梯,31104115272018060026,,,,11701271,TKJ1000/1.75-JXW,曳引驱动,19,19,19,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,4#1单元北,,乘客电梯,31104115272018060027,,,,11701261,TKJ1000/1.75-JXW,曳引驱动,27,27,27,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,4#1单元南,,乘客电梯,31104115272018060028,,,,11701262,TKJ1000/1.75-JXW,曳引驱动,27,27,27,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,4#2单元北,,乘客电梯,31104115272018060029,,,,11701263,TKJ1000/1.75-JXW,曳引驱动,27,27,27,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,4#2单元南,,乘客电梯,31104115272018060030,,,,11701264,TKJ1000/1.75-JXW,曳引驱动,27,27,27,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,3#1单元北,,乘客电梯,31104115272018060031,,,,11701259,TKJ1000/1.75-JXW,曳引驱动,27,27,27,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,3#1单元南,,乘客电梯,31104115272018060032,,,,11701260,TKJ1000/1.75-JXW,曳引驱动,27,27,27,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
淮滨县江淮名都,3#2单元南,,乘客电梯,31104115272018060033,,,,11701258,TKJ1000/1.75-JXW,曳引驱动,27,27,27,1000,1.75,2019.06.05,文化路与216省道交叉口,,,
