颐美园,云溪阁2单元,,乘客电梯,30104301022005110013,颐美园小区云溪阁栋1单元侧云溪阁2号电梯,上海康尔诺电梯有限公司,2005-02-01,,,曳引驱动,15,,,800,1.75,,湖南省雨花区王公塘街77号,,,
颐美园,春晓1单元,,乘客电梯,301043010220050080023,颐美园小区春晓栋1单元侧春晓1号电梯,上海康尔诺电梯有限公司,2005-04-01,,TJX-630KG-1.0M/S,曳引驱动,16,,,800,1.75,,湖南省雨花区王公塘街77号,,,
颐美园,春晓2单元,,乘客电梯,30104301022005110009,颐美园小区春晓栋2单元侧春晓2号电梯,上海康尔诺电梯有限公司,2005-02-01,,TJX-630KG-1.0M/S,曳引驱动,16,,,800,1.75,,湖南省雨花区王公塘街77号,,,
颐美园,云溪1单元,,乘客电梯,30104301022005110001,颐美园小区云溪栋1单元侧云溪1号电梯,上海康尔诺电梯有限公司,2005-03-04,,,曳引驱动,15,,,800,1.75,,湖南省雨花区王公塘街77号,,,
颐美园,6-1,,乘客电梯,30104301022005110006,颐美园小区6栋1单元侧6-1号电梯,上海康尔诺电梯有限公司,2005-02-23,,,曳引驱动,12,,,800,1,,湖南省雨花区王公塘街77号,,,
颐美园,4-2,,乘客电梯,30104301022005110010,颐美园小区4栋2单元侧4-2号电梯,上海康尔诺电梯有限公司,2005-03-01,,,曳引驱动,12,,,800,1,,湖南省雨花区王公塘街77号,,,
颐美园,4-1,,乘客电梯,30104301022005110011,颐美园小区4栋1单元侧4-1号电梯,上海康尔诺电梯有限公司,2005-02-24,,,曳引驱动,11,,,800,1,,湖南省雨花区王公塘街77号,,,
颐美园,春晓3单元,广州永日,乘客电梯,31104301222014060048,颐美园小区春晓栋3单元侧春晓3号电梯,广州永日电梯有限公司,2014-01-01,Y14030327,GSM-P630-C090,曳引驱动,15,,,800,1.75,,湖南省雨花区王公塘街77号,,,
靳江明珠,8-1,曼斯顿电梯,乘客电梯,31104301222014060049,靳江明珠小区8栋1单元东侧/号,曼斯顿电梯(浙江)有限公司,2014-01-01,14-03-10108,VVVF,曳引驱动,12,,,800,1.75,,湖南省岳麓区含浦中路139号,,,
靳江明珠,8-2,奥林,乘客电梯,31104301002010080305,靳江明珠小区8栋2单元东侧/号,苏州奥林电梯有限公司,2016-07-10,,,曳引驱动,12,,,800,1.75,,湖南省岳麓区含浦中路139号,,,
靳江明珠,9-1,奥林,乘客电梯,31104301022015070001,靳江明珠小区9栋1单元东侧/号,苏州奥林电梯有限公司,2014-11-01,dl1504-02,TKJ630/1.0-JXW,曳引驱动,12,,,800,1.75,,湖南省岳麓区含浦中路139号,,,
靳江明珠,9-2,广州永日,乘客电梯,3110430121201510060,靳江明珠小区9栋2单元东侧/号,广州永日电梯有限公司,2016-10-01,,GSM-P630-C090,曳引驱动,12,,,800,1.75,,湖南省岳麓区含浦中路139号,,,
靳江明珠,3-1,广州永日,乘客电梯,31104301212016020036,靳江明珠小区3栋1单元东侧/号,广州永日电梯有限公司,2015-12-01,Y15122907,,曳引驱动,12,,,800,1.75,,湖南省岳麓区含浦中路139号,,,
靳江明珠,3-2,广州永日,乘客电梯,31104301002007110052,靳江明珠小区3栋2单元东侧/号,广州永日电梯有限公司,2007-10-01,,RVF-P630-CO60,曳引驱动,12,,,800,1.75,,湖南省岳麓区含浦中路139号,,,
靳江明珠,4-1,,乘客电梯,30104301022005110007,靳江明珠小区4栋1单元东侧/号,上海康尔诺电梯有限公司,2005-04-01,,TJX-630KG/1.0M/S,曳引驱动,12,,,800,1.75,,湖南省岳麓区含浦中路139号,,,
靳江明珠,4-2,日立电梯,乘客电梯,30104301112004060025,靳江明珠小区4栋2单元东侧/号,日立电梯(中国)有限公司,,G011354,GVF-98,曳引驱动,12,,,800,1.75,,湖南省岳麓区含浦中路139号,,,
长沙中科白癜风医院,1,日立电梯,乘客电梯,30104301112004060028,长沙中科白癜风医院大厦前栋/单元侧1号电梯,日立电梯(中国)有限公司,,G010880,GVF-98,曳引驱动,9,,,1000,1,,湖南省雨花区韶山中路752号,,,
